num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
89709	606051.912282	31.132504	-0.946046	2.487340	3.058693
89711	606053.998948	31.587049	-0.800180	2.488325	3.203690
89713	606056.088826	31.302035	-0.959529	2.476436	2.858269
89715	606058.176821	31.562382	-0.199984	2.475570	3.287149
89717	606060.262875	32.264990	-0.284876	2.473263	3.070264
89719	606062.352468	32.851992	-0.900479	2.483481	3.129963
89721	606064.441245	33.424916	2.201884	2.456665	3.610329
89723	606066.529614	33.073053	-0.935306	2.471853	3.021872
89725	606068.617956	33.680608	2.914639	2.457922	3.148286
89727	606070.704879	34.253525	-0.815581	2.481204	3.737149
89729	606072.795053	34.015012	-0.937948	2.415682	3.316131
89731	606074.884461	34.316108	-0.887099	2.469948	3.774718
89733	606076.971335	35.364267	2.320640	2.451961	3.778485
89735	606079.062786	34.897416	-0.900941	2.469447	3.743476
89737	606081.151483	35.110205	-0.908269	2.469857	4.182774
89739	606083.239525	35.473143	-0.883461	2.469307	3.492869
89741	606085.327903	35.817163	-0.898292	2.469069	4.092312
89743	606087.416160	36.386316	0.032747	2.472024	3.908801
89745	606089.502806	37.878978	2.046229	2.443439	4.170271
89747	606091.589288	37.309313	2.362546	2.439032	4.263552
89749	606093.678344	36.960371	-0.919909	2.467158	4.087772
89751	606095.765099	37.126633	-0.166206	2.467079	4.886895
89753	606097.852135	38.978067	2.791390	2.449353	4.018028
89755	606099.940732	37.771021	-0.912454	2.465101	4.349993
89757	606102.025457	38.046661	-0.915054	2.465595	4.603279
89759	606104.113813	38.294205	-0.912051	2.464619	4.300084
89761	606106.201079	39.262449	-0.914612	2.472146	4.645454
89763	606108.287103	38.776954	-0.978576	2.464917	5.024380
89765	606110.373702	39.710490	-0.909846	2.473087	4.957065
89767	606112.459646	38.519360	-1.082974	2.409210	4.605328
89769	606114.546106	39.483938	-0.934739	2.464078	4.889276
89771	606116.630428	40.468221	-0.942606	2.471069	4.927058
89773	606118.717550	39.490636	-1.106038	2.412177	4.533388
89775	606120.803625	39.578887	-0.298117	2.464260	5.671032
89777	606122.889123	40.519106	-0.956985	2.464146	4.873344
89779	606124.977589	40.678384	-0.314993	2.464872	4.938104
89781	606127.062266	40.921663	-0.954573	2.463673	5.469757
89783	606129.148387	41.211042	-0.966084	2.463263	5.146334
89785	606131.235835	41.281134	-0.962235	2.463157	5.111744
89787	606133.320659	41.430555	-0.435651	2.462199	5.802872
89789	606135.409325	41.777567	-0.968748	2.461927	5.119883
89791	606137.495965	43.243595	2.353968	2.452681	5.173195
89793	606139.581622	42.182320	-0.998510	2.460646	5.700295
89795	606141.669150	43.135014	-0.988351	2.467247	5.335066
89797	606143.755349	43.111202	-1.067570	2.464249	6.160078
89799	606145.841846	42.578383	-1.016037	2.458822	5.715042
89801	606147.929833	42.195262	-0.458610	2.458384	5.811908
89803	606150.016527	43.199249	-0.514347	2.457217	5.809755
89805	606152.104343	44.706400	-3.631535	2.506432	5.428907
89807	606154.190175	44.011735	-1.213646	2.461679	6.395595
89809	606156.277711	44.166541	-1.298967	2.460645	5.759688
89811	606158.363148	43.018215	-1.461915	2.404259	6.154913
89813	606160.450212	44.810083	-1.096409	2.464177	5.997353
89815	606162.537586	44.888605	-1.243553	2.461142	5.695423
89817	606164.622909	44.232216	-1.089462	2.457346	6.353643
89819	606166.709179	47.924850	0.006775	2.460478	5.978933
89821	606168.795368	43.684896	-1.469899	2.406507	6.366571
89823	606170.879981	45.389595	-1.127618	2.460640	6.385836
89825	606172.967425	44.769756	-1.148670	2.455716	6.223512
89827	606175.053600	44.922051	-0.600709	2.455273	5.977261
89829	606177.138432	46.232989	-1.137870	2.461783	6.642430
89831	606179.224927	45.948413	-1.432364	2.456193	6.381818
89833	606181.310015	46.403461	2.426307	2.422657	6.635609
