crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.935978	89710	606054252544.000000
281474976710655.000000	3.067764	89711	606055301120.000000
281474976710655.000000	2.872788	89712	606056349696.000000
281474976710655.000000	3.027645	89713	606057398272.000000
281474976710655.000000	3.171162	89714	606058446848.000000
281474976710655.000000	3.042735	89715	606059495424.000000
281474976710655.000000	3.040365	89716	606060544000.000000
281474976710655.000000	3.220065	89717	606061592576.000000
281474976710655.000000	3.120227	89718	606062641152.000000
281474976710655.000000	3.168669	89719	606063689728.000000
281474976710655.000000	3.286818	89720	606064672768.000000
281474976710655.000000	3.344580	89721	606065721344.000000
281474976710655.000000	3.216427	89722	606066769920.000000
281474976710655.000000	3.380821	89723	606067818496.000000
281474976710655.000000	3.433467	89724	606068867072.000000
281474976710655.000000	3.390803	89725	606069915648.000000
281474976710655.000000	3.488509	89726	606070964224.000000
281474976710655.000000	3.586987	89727	606072012800.000000
281474976710655.000000	3.452000	89728	606073061376.000000
281474976710655.000000	3.609129	89729	606074109952.000000
281474976710655.000000	3.636571	89730	606075158528.000000
281474976710655.000000	3.608627	89731	606076207104.000000
281474976710655.000000	3.614394	89732	606077255680.000000
281474976710655.000000	3.687950	89733	606078238720.000000
281474976710655.000000	3.733227	89734	606079352832.000000
281474976710655.000000	3.797219	89735	606080335872.000000
281474976710655.000000	3.773716	89736	606081384448.000000
281474976710655.000000	3.799431	89737	606082433024.000000
281474976710655.000000	3.855210	89738	606083481600.000000
281474976710655.000000	4.019698	89739	606084530176.000000
281474976710655.000000	3.948399	89740	606085578752.000000
281474976710655.000000	3.981554	89741	606086627328.000000
281474976710655.000000	3.949071	89742	606087675904.000000
281474976710655.000000	3.964895	89743	606088724480.000000
281474976710655.000000	4.078251	89744	606089773056.000000
281474976710655.000000	4.163312	89745	606090821632.000000
281474976710655.000000	4.063898	89746	606091870208.000000
281474976710655.000000	4.105678	89747	606092853248.000000
281474976710655.000000	4.202048	89748	606093967360.000000
281474976710655.000000	4.169278	89749	606094950400.000000
281474976710655.000000	4.227141	89750	606095998976.000000
281474976710655.000000	4.331621	89751	606097047552.000000
281474976710655.000000	4.230418	89752	606098096128.000000
281474976710655.000000	4.238097	89753	606099144704.000000
281474976710655.000000	4.399776	89754	606100193280.000000
281474976710655.000000	4.522577	89755	606101241856.000000
281474976710655.000000	4.353070	89756	606102290432.000000
281474976710655.000000	4.483327	89757	606103339008.000000
281474976710655.000000	4.468383	89758	606104387584.000000
281474976710655.000000	4.432003	89759	606105370624.000000
281474976710655.000000	4.518097	89760	606106484736.000000
281474976710655.000000	4.766311	89761	606107467776.000000
281474976710655.000000	4.610985	89762	606108581888.000000
281474976710655.000000	4.673711	89763	606109564928.000000
281474976710655.000000	4.614050	89764	606110613504.000000
281474976710655.000000	4.598871	89765	606111662080.000000
281474976710655.000000	4.719190	89766	606112710656.000000
281474976710655.000000	4.950821	89767	606113759232.000000
281474976710655.000000	4.855124	89768	606114807808.000000
281474976710655.000000	4.778720	89769	606115856384.000000
281474976710655.000000	4.763421	89770	606116904960.000000
281474976710655.000000	4.820206	89771	606117953536.000000
281474976710655.000000	4.968420	89772	606119002112.000000
281474976710655.000000	5.021049	89773	606119985152.000000
281474976710655.000000	4.931931	89774	606121033728.000000
281474976710655.000000	5.006145	89775	606122082304.000000
281474976710655.000000	4.997583	89776	606123130880.000000
281474976710655.000000	5.085239	89777	606124179456.000000
281474976710655.000000	5.201852	89778	606125228032.000000
281474976710655.000000	5.113077	89779	606126276608.000000
281474976710655.000000	5.078442	89780	606127325184.000000
281474976710655.000000	5.296301	89781	606128373760.000000
281474976710655.000000	5.219787	89782	606129422336.000000
281474976710655.000000	5.154517	89783	606130470912.000000
281474976710655.000000	5.282433	89784	606131519488.000000
281474976710655.000000	5.319369	89785	606132568064.000000
281474976710655.000000	5.260246	89786	606133551104.000000
281474976710655.000000	5.324473	89787	606134599680.000000
281474976710655.000000	5.488628	89788	606135648256.000000
281474976710655.000000	5.308776	89789	606136696832.000000
281474976710655.000000	5.372957	89790	606137745408.000000
281474976710655.000000	5.632602	89791	606138793984.000000
281474976710655.000000	5.401657	89792	606139842560.000000
281474976710655.000000	5.492858	89793	606140891136.000000
