num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1995	3230.247603	38.982552	-2.213710	-0.638162	4.623570
1997	3232.329938	38.933747	-2.201728	-0.638543	4.920233
1999	3234.415390	38.892416	-2.201783	-0.638747	4.495397
2001	3236.500856	38.409818	-2.221413	-0.665054	4.763811
2003	3238.588424	39.403421	-2.081903	-0.639215	4.862570
2005	3240.674708	41.157525	-2.191769	-0.630641	4.809591
2007	3242.759358	40.464111	-2.115056	-0.636821	5.289548
2009	3244.845820	39.900290	-2.122096	-0.658214	4.657781
2011	3246.932909	41.305703	-2.018712	-0.635929	5.187350
2013	3249.017702	43.152069	-4.780095	-0.628584	5.489480
2015	3251.103946	42.191562	-1.996716	-0.635527	5.320422
2017	3253.189048	43.086372	-2.928438	-0.633820	5.943571
2019	3255.275682	43.158995	-1.959656	-0.633864	5.688301
2021	3257.360916	43.659903	-2.014174	-0.632551	6.008566
2023	3259.447145	44.117109	-2.005146	-0.631931	6.011087
2025	3261.533980	46.948968	-8.066098	-0.601720	6.075796
2027	3263.619176	45.006529	-1.865478	-0.631229	6.349285
2029	3265.706065	45.571186	-1.938554	-0.629729	6.332475
2031	3267.792161	45.163542	-1.938911	-0.644750	6.384326
2033	3269.877441	46.371690	-1.857849	-0.628915	6.655321
2035	3271.964868	46.942208	-1.907645	-0.627862	6.504156
2037	3274.049939	48.564691	-1.964444	-0.625708	6.977565
2039	3276.136226	47.879819	-1.869838	-0.627439	6.957835
2041	3278.222356	47.395382	-1.874203	-0.642132	7.054627
2043	3280.308137	49.495755	2.676263	-0.662176	7.318035
2045	3282.394323	48.901817	-1.593579	-0.638766	7.240022
2047	3284.480706	51.866561	-1.852814	-0.620898	7.607677
2049	3286.566178	50.188751	-1.788815	-0.624552	7.500067
2051	3288.652460	50.641323	-1.793694	-0.623912	7.729732
2053	3290.738115	51.167749	-1.794213	-0.624580	7.839497
2055	3292.823269	53.025465	-1.781845	-0.618422	8.434192
2057	3294.910017	52.054205	-1.769128	-0.622830	8.367281
2059	3296.995314	52.475324	-1.779247	-0.622592	8.190110
2061	3299.081113	52.912214	-1.739096	-0.622441	8.350082
2063	3301.167122	52.651062	-1.701055	-0.630885	8.469719
2065	3303.252858	53.272722	-1.412372	-0.627069	8.911254
2067	3305.338796	54.155061	-1.664894	-0.621814	8.933651
2069	3307.424893	54.656016	-0.774309	-0.642324	9.010870
2071	3309.510286	55.050154	-1.687435	-0.622010	9.121096
2073	3311.596462	57.031457	-1.781520	-0.618478	8.859389
2075	3313.682543	55.480234	-1.667636	-0.628202	9.434083
2077	3315.768118	57.883814	-1.830484	-0.616735	9.274232
2079	3317.853717	58.255299	-1.787562	-0.618853	9.091352
2081	3319.939038	56.796992	-1.634420	-0.627131	9.524728
2083	3322.025218	57.558107	-1.647389	-0.621918	10.034267
2085	3324.110870	57.628718	-1.631479	-0.628362	9.645620
2087	3326.196532	60.821035	-1.741295	-0.614858	10.018518
2089	3328.282416	60.029517	-1.829549	-0.619859	10.288100
2091	3330.368383	59.016743	-0.728597	-0.643937	10.258693
2093	3332.453714	59.585630	-1.639560	-0.622489	10.697337
2095	3334.538941	61.617906	-1.709809	-0.616913	10.761203
2097	3336.624629	60.569515	-1.692831	-0.621568	11.125480
2099	3338.710151	60.857362	-1.668462	-0.622408	11.254443
2101	3340.795934	60.905224	-1.598220	-0.625174	11.204094
2103	3342.881510	61.576270	-1.635120	-0.620805	11.563521
2105	3344.966828	62.075142	-1.677995	-0.621229	11.519730
2107	3347.051509	62.185601	-1.608332	-0.624931	11.534184
2109	3349.137924	65.580672	-1.661875	-0.608764	12.098139
2111	3351.224528	61.820601	-0.964803	-0.651270	11.903710
2113	3353.309942	63.452928	2.324273	-0.653460	12.351818
2115	3355.395138	63.705265	-1.612533	-0.620017	12.250588
2117	3357.480952	64.333339	-1.669723	-0.620373	12.180783
2119	3359.566590	60.330076	-0.876535	-0.660029	12.633520
2121	3361.651948	64.858872	-1.654698	-0.620150	12.698041
